taxon_group,class_la,order_la,gbif_key,gbif_rank,gbif_match,gbif_canon
-P,Actinopterygii,Acipenseriformes,1103,ORDER,EXACT,Acipenseriformes
-P,Actinopterygii,Albuliformes,1104,ORDER,EXACT,Albuliformes
-P,Actinopterygii,Anguilliformes,495,ORDER,EXACT,Anguilliformes
-P,Actinopterygii,Argentiniformes,NA,NA,NONE,NA
-P,Actinopterygii,Ateleopodiformes,1105,ORDER,EXACT,Ateleopodiformes
-P,Actinopterygii,Atheriniformes,496,ORDER,EXACT,Atheriniformes
-P,Actinopterygii,Aulopiformes,497,ORDER,EXACT,Aulopiformes
-P,Actinopterygii,Beloniformes,498,ORDER,EXACT,Beloniformes
-P,Actinopterygii,Beryciformes,499,ORDER,EXACT,Beryciformes
-P,Actinopterygii,Clupeiformes,538,ORDER,EXACT,Clupeiformes
-P,Actinopterygii,Cypriniformes,1153,ORDER,EXACT,Cypriniformes
-P,Actinopterygii,Elopiformes,1162,ORDER,EXACT,Elopiformes
-P,Actinopterygii,Gadiformes,549,ORDER,EXACT,Gadiformes
-P,Actinopterygii,Gasterosteiformes,550,ORDER,EXACT,Gasterosteiformes
-P,Actinopterygii,Gonorynchiformes,1164,ORDER,EXACT,Gonorynchiformes
-P,Actinopterygii,Lampridiformes,NA,NA,NONE,NA
-P,Actinopterygii,Lampriformes,1166,ORDER,EXACT,Lampriformes
-P,Actinopterygii,Lophiiformes,1305,ORDER,EXACT,Lophiiformes
-P,Actinopterygii,Mugiliformes,1067,ORDER,EXACT,Mugiliformes
-P,Actinopterygii,Myctophiformes,1306,ORDER,EXACT,Myctophiformes
-P,Actinopterygii,Ophidiiformes,1308,ORDER,EXACT,Ophidiiformes
-P,Actinopterygii,Osmeriformes,1068,ORDER,EXACT,Osmeriformes
-P,Actinopterygii,Perciformes,587,ORDER,EXACT,Perciformes
-P,Actinopterygii,Pleuronectiformes,588,ORDER,EXACT,Pleuronectiformes
-P,Actinopterygii,Polymixiiformes,589,ORDER,EXACT,Polymixiiformes
-P,Actinopterygii,Salmoniformes,1313,ORDER,EXACT,Salmoniformes
-P,Actinopterygii,Scorpaeniformes,590,ORDER,EXACT,Scorpaeniformes
-P,Actinopterygii,Siluriformes,708,ORDER,EXACT,Siluriformes
-P,Actinopterygii,Stomiiformes,774,ORDER,EXACT,Stomiiformes
-P,Actinopterygii,Synbranchiformes,889,ORDER,EXACT,Synbranchiformes
-P,Actinopterygii,Tetraodontiformes,772,ORDER,EXACT,Tetraodontiformes
-P,Actinopterygii,Zeiformes,888,ORDER,EXACT,Zeiformes
-P,Chondrichthyes,Carcharhiniformes,887,ORDER,EXACT,Carcharhiniformes
-P,Chondrichthyes,Chimaeriformes,880,ORDER,EXACT,Chimaeriformes
-P,Chondrichthyes,Heterodontiformes,886,ORDER,EXACT,Heterodontiformes
-P,Chondrichthyes,Hexanchiformes,770,ORDER,EXACT,Hexanchiformes
-P,Chondrichthyes,Lamniformes,885,ORDER,EXACT,Lamniformes
-P,Chondrichthyes,Myliobatiformes,8214029,ORDER,EXACT,Myliobatiformes
-P,Chondrichthyes,Orectolobiformes,769,ORDER,EXACT,Orectolobiformes
-P,Chondrichthyes,Pristiophoriformes,767,ORDER,EXACT,Pristiophoriformes
-P,Chondrichthyes,Rajiformes,884,ORDER,EXACT,Rajiformes
-P,Chondrichthyes,Squaliformes,883,ORDER,EXACT,Squaliformes
-P,Chondrichthyes,Squatiniformes,882,ORDER,EXACT,Squatiniformes
-P,Petromyzontida,Petromyzontiformes,771,ORDER,EXACT,Petromyzontiformes
IV,Adenophorea,Monhysterida,445,ORDER,EXACT,Monhysterida
IV,Aphanoneura,Aeolosomatida,NA,NA,NONE,NA
IV,Enoplea,Dioctophymatida,11209881,ORDER,EXACT,Dioctophymatida
IV,Enoplea,Dorylaimida,446,ORDER,EXACT,Dorylaimida
IV,Enoplea,Enoplida,976,ORDER,EXACT,Enoplida
IV,Enoplea,Mermithida,975,ORDER,EXACT,Mermithida
IV,Enoplea,Mononchida,898,ORDER,EXACT,Mononchida
IV,Enoplea,Trichinellida,11149121,ORDER,EXACT,Trichinellida
IV,Enoplea,Triplonchida,781,ORDER,EXACT,Triplonchida
IV,Thecostraca,Ibliformes,NA,NA,NONE,NA
IV,Thecostraca,Lepadiformes,NA,NA,NONE,NA
IV,Thecostraca,Pollicipedomorpha,NA,NA,NONE,NA
IV,Thecostraca,Scalpelliformes,7219046,ORDER,EXACT,Scalpelliformes
IV,Thecostraca,Sessilia,1426,ORDER,EXACT,Sessilia
MS,Anthoceropsida,Anthocerales,NA,NA,NONE,NA
MS,Tetraphidopsida,Tetraphidales,1344,ORDER,EXACT,Tetraphidales
RP,Reptilia,Squamata,11592253,CLASS,EXACT,Squamata
RP,Reptilia,Testudines,11418114,CLASS,EXACT,Testudines
VP,Equisetopsida,Equisetales,954,ORDER,EXACT,Equisetales
VP,Maratiopsida,Marattiales,394,ORDER,EXACT,Marattiales
VP,Psilotopsida,Ophioglossales,393,ORDER,EXACT,Ophioglossales
VP,Psilotopsida,Psilotales,931,ORDER,EXACT,Psilotales
